name,year,certifi,time,Genre,Vote,Metascore,Rating
The Marksman,(2021),PG-13,108 min,"Action, Drama, Thriller","15,113",44        ,5.6
Superman and Lois,(2021– ),TV-14,42 min,"Action, Adventure, Drama","15,006",No data,7.9
Willy's Wonderland,(2021),TV-MA,88 min,"Action, Comedy, Horror","14,746",44        ,5.6
Crime Scene: The Vanishing at the Cecil Hotel,(2021),TV-MA,219 min,"Documentary, Crime, Mystery","14,672",No data,5.9
The Map of Tiny Perfect Things,(2021),PG-13,98 min,"Comedy, Fantasy, Romance","14,448",61        ,6.8
Infinite,(2021),PG-13,106 min,"Action, Sci-Fi, Thriller","14,339",28        ,5.4
The Nevers,(2021– ),TV-MA,58 min,"Action, Drama, Fantasy","14,237",No data,7.4
 Attack on Titan,(2013–2021),TV-MA,24 min,"Animation, Action, Adventure","13,946",No data,9.7
 Loki,(2021– ),TV-14,53 min,"Action, Adventure, Fantasy","13,916",No data,9.0
 The Falcon and the Winter Soldier,(2021),TV-14,53 min,"Action, Adventure, Drama","13,661",No data,8.8
Bliss,(I) (2021),R,103 min,"Drama, Romance, Sci-Fi","13,619",40        ,5.3
Them,(2021– ),TV-MA,45 min,"Drama, Horror, Thriller","13,377",No data,7.3
Fatherhood,(2021),PG-13,109 min,"Comedy, Drama","13,159",53        ,6.7
 The Falcon and the Winter Soldier,(2021),TV-14,47 min,"Action, Adventure, Drama","13,057",No data,7.9
